incident_name,incident_created_year,incident_created_month,incident_created_day,incident_created_hour,incident_created_minute,incident_latitude,incident_longitude,class_label
Hunter Fire,2020,6,21,16,29,35.90835,-121.08753,1
Stage Fire,2020,6,21,21,50,36.69845,-121.57407,1
Grade Fire ,2020,6,22,8,16,36.5537,-119.19677,1
River Fire,2020,6,22,13,55,35.62906,-120.68326,1
Rico Fire ,2020,6,22,15,55,35.9789,-120.87858,1
Sycamore Fire,2020,6,23,8,23,36.97511,-119.33439,1
R-2 Fire,2020,6,23,21,12,40.43203,-120.28147,1
R-3 Fire,2020,6,24,7,49,40.44793,-120.04635,1
58 Fire,2020,6,24,17,49,33.27665,-115.96594,1
Diablo Fire,2020,6,25,6,47,37.46265,-121.18355,1
Bend Fire,2020,6,25,17,28,35.30742,-119.88048,1
Aurora Fire,2020,6,26,15,13,38.22554,-119.00289,1
Indian Fire,2020,6,26,17,7,33.565093,-116.750925,1
Pass Fire,2020,6,28,13,28,37.06641,-121.21912,1
Gage Fire,2020,6,28,15,58,35.69993,-120.96759,1
Muck Fire ,2020,6,29,12,35,41.0336731,-121.2199939,1
Avacado Fire,2020,6,30,15,43,39.3784,-121.4319,1
Flat Fire,2020,6,30,17,40,40.791509,-123.437051,1
Bena Fire,2020,7,1,16,32,35.310132,-118.702732,1
Rowher Fire,2020,7,1,16,43,34.542742,-118.324601,1
Bonadelle Fire,2020,7,2,15,27,36.9678542,-119.9252132,1
Soda Fire ,2020,7,3,14,0,35.393889,-120.053275,1
Mount R Fire,2020,7,3,16,29,34.182436,-117.124353,1
Park Fire,2020,7,4,7,13,37.166733,-121.567505,1
Sheridan Fire,2020,7,4,15,4,37.536015,-121.876277,1
Lake Fire,2020,7,5,7,9,35.351065,-120.00485,1
Cotton Fire,2020,7,5,7,30,37.091637,-121.086625,1
Kings Fire,2020,7,5,14,39,36.750186,-119.116536,1
Crews Fire,2020,7,5,14,55,37.034839,-121.501532,1
Soledad Fire,2020,7,5,17,18,34.467915,-118.328877,1
California Fire,2020,7,6,15,32,38.02996,-122.25471,1
Patterson Fire,2020,7,6,16,4,37.71984,-121.53524,1
Mountain Meadow Fire ,2020,7,6,18,22,38.21614,-122.12447,1
Brandon Fire,2020,7,7,16,6,38.58488,-120.941267,1
Nail Fire,2020,7,7,17,32,39.35498,-122.65813,1
Tripp Fire ,2020,7,9,14,27,33.551838,-116.7464168,1
Alum Fire,2020,7,11,10,50,37.37731,-121.79349,1
Power Fire,2020,7,11,17,57,37.1487,-119.50307,1
Elliot Fire,2020,7,13,12,55,33.623968,-117.108421,1
Robinson Fire,2020,7,13,15,6,39.43227,-121.37994,1
Casino Fire,2020,7,13,15,8,33.48429,-116.83552,1
Mineral Fire,2020,7,13,16,40,36.09493,-120.52193,1
Coyote Fire,2020,7,15,14,4,36.653,-121.04401,1
Ben Fire,2020,7,15,16,44,37.42319,-119.95807,1
Valley Fire ,2020,7,15,17,18,39.10112,-121.33589,1
Hollow Fire,2020,7,16,18,14,37.64044,-121.59374,1
Pitzer Fire,2020,7,17,14,59,34.39464,-116.97557,1
Badger Fire,2020,7,18,17,18,41.79319,-122.69296,1
Hog Fire,2020,7,18,17,28,40.420886,-120.86375,1
Platina Fire,2020,7,19,17,5,40.462621,-122.792645,1
Gold Fire,2020,7,20,14,12,41.11037,-120.923293,1
Milepost 21 Fire,2020,7,20,15,44,41.1849445,-123.6986222,1
Feather Fire,2020,7,20,16,9,39.506597,-121.604579,1
Holland Fire ,2020,7,20,18,4,37.977309,-121.620238,1
Easton Fire,2020,7,20,19,10,34.135626,-117.192142,1
Rabbit Fire ,2020,7,20,19,15,37.118075,-119.932391,1
Iris Fire,2020,7,21,19,26,37.518879,-118.711135,1
July Complex,2020,7,24,7,33,41.699,-121.477,1
Jack Fire,2020,7,24,17,32,33.93327,-117.033124,1
Hill Fire,2020,7,24,17,47,39.013591,-122.359663,1
Karen Fire,2020,7,25,18,16,34.028116,-117.429598,1
Ione Fire ,2020,7,26,12,57,38.420382,-121.044895,1
Cottonwood Fire,2020,7,27,9,28,37.083806,-121.101634,1
Adams Fire,2020,7,27,9,35,39.922415,-120.025872,1
Ridge Fire,2020,7,27,17,19,34.75844,-118.72004,1
Lincoln Fire,2020,7,27,18,50,40.78804,-124.19954,1
Border 11 Fire,2020,7,28,7,49,32.62212,-116.77048,1
Branch Fire,2020,7,28,14,59,35.35146,-120.00521,1
Brook Fire,2020,7,29,17,24,34.25143,-117.45479,1
Clay Fire,2020,7,29,18,5,38.40329,-121.17197,1
Rabbit Fire,2020,7,30,14,40,33.934137,-117.034461,1
Dam Fire,2020,7,30,15,23,34.17363,-117.889503,1
Sheep Fire,2020,7,30,16,14,35.14357,-118.7933,1
Apple Fire,2020,7,31,18,8,33.99139,-116.9617,1
Cowhead Fire,2020,7,31,20,6,41.52261,-120.17183,1
Stump Fire,2020,8,1,16,39,40.34659,-121.6415,1
Castaic Fire,2020,8,1,18,4,34.51853,-118.59699,1
Pond Fire,2020,8,1,18,44,35.43128,-120.47346,1
Sophia Fire,2020,8,2,9,12,38.686478,-121.103299,1
Water Fire,2020,8,2,15,11,33.924086,-116.641846,1
North Fire,2020,8,2,16,51,40.36764,-120.44811,1
Sites Fire ,2020,8,2,17,13,39.31313,-122.48525,1
Post Fire,2020,8,2,20,49,34.04447,-118.21608,1
Beale Fire,2020,8,2,22,24,39.11307,-121.38178,1
Elsmere Fire,2020,8,3,15,45,34.3428,-118.49731,1
Stagecoach Fire,2020,8,3,17,33,35.43044,-118.53361,1
166 Fire,2020,8,3,20,27,34.93442,-119.5795,1
Trimmer Fire,2020,8,4,9,44,36.90933,-119.2439,1
Pass Fire,2020,8,4,17,18,35.61521,-120.40457,1
Fort Fire,2020,8,6,8,24,34.93929,-118.92967,1
Mina Fire,2020,8,10,18,31,39.82454,-123.262437,1
Duluth Fire,2020,8,10,18,58,38.81111,-121.318472,1
R-1 Fire,2020,8,11,7,37,40.590714,-120.549595,1
Soda Fire,2020,8,12,11,43,34.962524,-119.444977,1
Lake Fire,2020,8,12,17,13,34.679,-118.452,1
Carrizo Fire,2020,8,12,19,12,35.308259,-119.987565,1
Ranch 2 Fire,2020,8,13,14,49,34.160265,-117.910498,1
Meiss Fire,2020,8,13,17,1,38.474502,-121.172572,1
Feather Fire,2020,8,13,19,3,39.716713,-120.889438,1
Clark Fire,2020,8,14,17,55,39.647686,-121.633994,1
Loyalton Fire,2020,8,14,18,52,39.702438,-120.143473,1
Whale Fire,2020,8,15,13,21,35.472114,-120.856731,1
Hills Fire,2020,8,15,17,0,36.09876,-120.427342,1
3-2 Fire,2020,8,16,7,56,35.519723,-120.801074,1
CZU Lightning Complex (Including Warnella Fire) ,2020,8,16,8,0,37.17162,-122.22275,1
SCU Lightning Complex,2020,8,16,9,25,37.439437,-121.30435,1
Elk Fire,2020,8,16,10,14,39.52452,-122.427358,1
River Fire,2020,8,16,14,56,36.60239,-121.62161,1
August Complex (includes Doe Fire),2020,8,16,20,37,39.776,-122.673,1
Jones Fire,2020,8,17,8,0,39.29241,-121.100352,1
LNU Lightning Complex,2020,8,17,8,0,38.48193,-122.14864,1
Butte/Tehama/Glenn Lightning Complex (Tehama/Glenn Zone) ,2020,8,17,9,12,40.09571,-122.4393,1
Beach Fire ,2020,8,17,12,31,37.919382,-119.010655,1
4-8 Fire,2020,8,17,14,16,39.555943,-122.5012461,1
Holser Fire,2020,8,17,17,8,34.438759,-118.758965,1
Murphy Fire,2020,8,17,20,6,38.840068,-120.876546,1
Bell Fire,2020,8,18,10,21,38.183,-119.869,1
Carmel Fire,2020,8,18,14,24,36.4463,-121.68181,1
Woodward Fire,2020,8,18,14,27,38.018089,-122.836701,1
3-19 Fire,2020,8,18,15,27,39.276,-123.013667,1
Salt Fire,2020,8,18,16,33,38.027921,-120.763258,1
Creek Fire,2020,8,18,17,58,39.8174372,-123.2111007,1
Flint Fire,2020,8,19,16,44,38.03106,-120.85258,1
Moc Fire,2020,8,20,14,26,37.813779,-120.312565,1
Volcano Fire,2020,8,20,16,18,33.454896,-117.328234,1
Coyote Fire,2020,8,21,14,36,37.18725,-121.68465,1
Sheep Fire ,2020,8,22,22,2,40.274,-120.757,1
W-5 Cold Springs,2020,8,23,8,24,41.028611,-120.281389,1
Placer Fire,2020,8,25,16,29,35.4335197,-120.1243296,1
R-8 Pinecone Fire ,2020,8,26,8,3,40.773,-120.536,1
Perry Fire,2020,8,26,13,37,38.8825,-121.10411,1
Johnson Fire ,2020,8,28,16,21,34.65979,-118.36411,1
Hensley Fire ,2020,8,30,11,11,37.08053,-119.88673,1
Hobo Fire ,2020,9,1,9,37,40.82126,-123.12461,1
Slink Fire,2020,9,1,12,38,38.568,-119.568,1
Catholic Fire,2020,9,1,17,34,39.012743,-122.637037,1
Creek Fire,2020,9,4,18,21,37.19147,-119.261175,1
El Dorado Fire,2020,9,5,12,51,34.08056,-116.98669,1
Valley Fire,2020,9,5,16,2,32.765615,-116.692705,1
Oak Fire,2020,9,7,13,26,39.4935,-123.3965,1
Fork Fire,2020,9,8,13,3,38.99,-120.394,1
Sperry Fire,2020,9,8,22,27,37.46377,-121.18018,1
Willow Fire,2020,9,9,8,4,39.3637,-121.32361,1
Schoolhouse Fire,2020,9,9,15,59,41.68229,-122.84057,1
Shackleford Fire,2020,9,11,10,5,41.575549,-123.021635,1
Bullfrog Fire,2020,9,12,13,57,37.135474,-119.027309,1
Fox Fire,2020,9,16,11,8,41.211022,-122.847359,1
San Antonio Fire ,2020,9,16,16,0,34.773809,-120.491594,1
Snow Fire ,2020,9,17,16,11,33.88831,-116.68386,1
Glass Fire,2020,9,27,8,48,38.56295,-122.49745,1
Zogg Fire,2020,9,27,16,3,40.53927,-122.56656,1
Martindale Fire ,2020,9,28,17,8,34.563,-118.4,1
Candy Fire,2020,9,29,13,32,33.764357,-117.374419,1
Copper Fire ,2020,9,30,13,9,38.49375,-121.003602,1
Pony Fire,2020,10,3,15,38,38.464074,-121.039236,1
Lambert Fire,2020,10,4,12,46,38.424016,-121.006635,1
Fields Fire ,2020,10,7,6,6,39.181047,-121.450982,1
Irvine Fire,2020,10,11,18,4,37.821737,-122.104314,1
Diamond Fire,2020,10,13,14,31,37.98337,-120.64541,1
Bruder Fire,2020,10,15,5,40,34.014728,-117.138078,1
Cameron Fire,2020,10,18,20,42,38.659387,-120.964726,1
Ferry Fire,2020,10,22,14,43,39.51694,-121.54475,1
Redwood Fire,2020,10,23,13,52,40.55823,-123.88658,1
Pope Fire,2020,10,23,17,25,38.56184,-122.37828,1
Point Fire (Shasta and Tehama County),2020,10,25,9,56,40.38869,-122.39033,1
Dersch Fire,2020,10,25,12,54,40.47646,-122.18102,1
Olinda Fire,2020,10,25,14,22,40.41486,-122.342,1
Silverado Fire ,2020,10,26,7,54,33.73614,-117.65719,1
Point Fire (Placer County),2020,10,26,8,21,39.009454,-120.488892,1
Blue Ridge Fire ,2020,10,26,14,32,33.877257,-117.675067,1
Cypress Fire,2020,11,1,17,5,34.03343,-117.51476,1
San Dimas Fire,2020,11,6,7,28,34.146195,-117.778561,1
257 Fire,2020,11,17,12,47,41.4435,-120.87054,1
Airport Fire,2020,12,1,17,27,33.893351,-117.62109,1
Willow Fire,2020,12,2,9,0,32.75277778,-116.9075,1
Bond Fire,2020,12,2,22,14,33.743842,-117.674967,1
Cerritos Fire,2020,12,3,2,6,33.773754,-117.051463,1
Thomas Fire,2020,12,3,13,32,41.591948,-120.374514,1
Cornell Fire,2020,12,7,11,44,34.33622,-119.078,1
Sanderson Fire,2020,12,13,8,0,33.93244,-117.03459,1
Pitman Fire,2020,12,26,13,48,34.52927,-117.31544,1
Erbes Fire,2021,1,14,16,0,34.20955,-118.83967,1
North Butano Fire,2021,1,18,21,0,37.18259,-122.28823,1
China Grade Fire,2021,1,18,21,0,37.17749,-122.1756,1
Bonny Doone Complex (Previously Fanning Fire),2021,1,19,6,48,37.08931,-122.10509,1
Wolf Fire,2021,1,19,11,47,34.99432,-119.185309,1
Manzanita Fire,2021,1,19,12,8,37.25086,-119.51982,1
72 Fire,2021,1,19,14,48,33.52871,-116.10723,1
Towsley Fire,2021,1,19,15,4,34.3585229,-118.5553174,1
Panther Ridge Fire,2021,1,19,15,25,37.18381,-122.13372,1
Freedom Fire,2021,1,19,19,13,36.98767,-121.83627,1
Grapevine Fire,2021,3,14,18,35,35.5819816117628,-117.5910734433329,1
Refuge Fire,2021,3,27,17,2,41.927772,-121.627082,1
Line Fire,2021,3,28,14,43,37.813464,-120.131236,1
Woodman Fire,2021,4,1,15,56,40.6758842,-122.0536419,1
Westwood Fire,2021,4,4,15,52,34.30277328465364,-118.70009500551254,1
Paso Fire,2021,4,12,18,44,32.958961,-116.582369,1
Turnout Fire,2021,4,18,17,46,38.99914,-123.35838,1
River Fire,2021,4,19,20,29,38.9743823,-121.5896697,1
Luis Fire,2021,4,24,14,50,37.0953436,-121.143154,1
North Fire,2021,4,28,23,4,34.449686,-118.616276,1
Sky Fire,2021,4,29,12,44,38.88437128468346,-122.51771555326388,1
Campo Fire,2021,4,29,23,18,38.223179,-120.856628,1
Salmon Fire,2021,5,1,21,2,38.773294,-121.034998,1
Southern Fire,2021,5,2,0,56,32.987532,-116.443391,1
Creek Fire,2021,5,4,13,28,33.532246,-116.767011,1
Bridge Fire,2021,5,5,23,30,33.86972,-117.044072,1
Gunnison Fire,2021,5,8,13,44,39.85479,-121.91936,1
Granite Fire,2021,5,8,15,2,38.03106,-120.85258,1
Dillard Fire,2021,5,8,17,29,38.28328,-121.45965,1
Quail Fire,2021,5,12,20,48,39.2510745,-121.361339,1
Pine Fire,2021,5,12,22,46,34.454231,-117.663815,1
R-1 Fire,2021,5,14,13,3,40.971612,-120.094517,1
Fields Fire,2021,5,14,14,0,37.560209,-120.419624,1
Palisades Fire,2021,5,14,21,50,34.079046,-118.558938,1
Davis Fire,2021,5,18,13,30,33.8948,-117.1116,1
Settlers Fire,2021,5,19,14,56,38.56101,-121.01365,1
Parkside Fire,2021,5,19,15,54,33.50994,-115.917099,1
WeeVill Fire,2021,5,20,9,27,34.7591895,-118.5044868,1
Bluff Fire,2021,5,21,6,55,41.23106,-123.66003,1
Tomki Fire,2021,5,21,15,36,39.384319,-123.23205,1
Lake Fire,2021,5,24,13,30,33.965596,-117.471517,1
Live Oak Fire,2021,5,27,14,36,37.45646,-120.00392,1
Mile Fire,2021,5,27,18,44,37.89346196853137,-120.83915871172879,1
Sargents Fire,2021,5,30,15,10,35.932852,-120.854096,1
Slope Fire,2021,5,31,16,24,36.86201725309289,-119.3484121800294,1
Smalley Fire,2021,5,31,19,12,37.1619216,-119.5166045,1
Scott Fire,2021,6,1,13,6,33.631955,-117.089849,1
Coyote Fire,2021,6,2,18,30,33.895007,-116.90145,1
Buck Fire,2021,6,6,15,20,37.24484944019164,-119.86047836209606,1
Intanko Fire,2021,6,8,13,59,39.084872,-121.333346,1
Farm Fire,2021,6,9,13,15,34.383247203440405,-117.41835464122235,1
Sierra Fire,2021,6,9,13,53,33.315711565249096,-117.34832277422022,1
Creek Fire,2021,6,9,20,0,38.899722,-122.238889,1
Flats Fire,2021,6,13,11,12,33.5812044,-116.4518615,1
Goose Fire,2021,6,13,16,1,38.3046414,-120.9608439,1
Beale Fire,2021,6,13,19,39,39.1956433,-121.3587065,1
Silicon Fire,2021,6,14,11,40,37.24042,-121.76309,1
Kathryn Fire,2021,6,15,13,30,33.67127,-116.94956,1
Rock Fire,2021,6,15,17,14,40.61468,-122.49164,1
Dairy Fire,2021,6,15,18,59,40.10806,-122.16025,1
Equestrian Fire,2021,6,16,14,3,38.79988,-121.01273,1
Pomo Fire,2021,6,17,16,45,39.16338,-122.916,1
Park Fire,2021,6,17,21,37,39.77144,-121.76629,1
Antelope Fire,2021,6,18,6,33,36.47887,-119.10788,1
Alabama Fire,2021,6,18,8,0,36.59717,-118.20355,1
Success Fire,2021,6,18,8,0,36.03223,-118.85799,1
Nettle Fire,2021,6,18,10,11,36.03887,-118.76857,1
Willow Fire,2021,6,18,11,49,36.151231,-121.558858,1
Crane Fire,2021,6,18,18,35,34.83498,-118.86258,1
Inyo Creek Fire,2021,6,19,6,19,36.6000177,-118.1420738,1
Overland Fire,2021,6,19,8,0,32.903917,-116.233056,1
Bautista Fire,2021,6,19,13,36,33.551747,-116.707967,1
Cow Fire,2021,6,20,16,38,40.53297,-122.12107,1
76 Fire,2021,6,20,17,32,33.499081,-116.1147496,1
Clevenger Fire,2021,6,20,18,28,33.09183,-116.9543,1
Watt Fire,2021,6,21,16,41,38.728881,-121.39247,1
Antelope Fire,2021,6,22,11,19,41.583949,-120.729446,1
Panoche Fire,2021,6,23,13,38,36.63228,-120.987172,1
Pine Fire,2021,6,23,13,42,40.475558,-122.481055,1
Mesa Fire,2021,6,23,16,1,33.337282,-117.095858,1
4-3 Fire,2021,6,24,18,38,41.562302,-120.497502,1
Lava Fire,2021,6,24,20,35,41.459,-122.329,1
Paseo Fire,2021,6,25,14,23,37.118582,-121.584194,1
Henry Fire,2021,6,25,19,53,38.4504695,-119.7512546,1
Steins Fire,2021,6,26,13,5,38.659971,-120.876096,1
Canyon Fire,2021,6,26,20,47,35.442533,-118.793912,1
Shell Fire,2021,6,27,13,7,34.919,-118.891,1
Vulcan Fire,2021,6,27,17,5,36.932,-119.735,1
Sky Fire,2021,6,27,17,49,40.039,-121.406,1
Peak Fire,2021,6,28,10,52,34.20849,-117.280416,1
Lilly Fire,2021,6,28,16,7,41.665191,-122.054254,1
Tennant Fire,2021,6,28,16,7,41.665191,-122.054254,1
Stowe Fire,2021,6,28,16,48,33.740058,-117.050236,1
Beswick Fire,2021,6,28,18,14,41.917209,-122.374848,1
Salt Fire,2021,6,30,14,55,40.860525,-122.348956,1
Blue Fire,2021,6,30,16,22,37.02865766813302,-119.25484409482164,1
R-1 Fire,2021,6,30,20,49,40.74,-120.24,1
Sugar Fire,2021,7,2,16,4,39.83203,-120.3415,1
Main Fire,2021,7,3,8,0,36.10007,-119.017899,1
Ysabel Fire,2021,7,3,11,34,33.119448,-116.677511,1
Beckwourth Complex,2021,7,4,9,26,39.83203,-120.3415,1
Tamarack Fire,2021,7,4,11,57,38.6280042,-119.8591887,1
Tumbleweed Fire,2021,7,4,14,49,34.808751,-118.87933,1
Fish Fire,2021,7,4,17,46,36.802809,-119.393795,1
Juniper Fire,2021,7,5,16,34,41.80728,-120.638464,1
Broiler Fire,2021,7,7,14,30,39.253647,-123.224377,1
Basalt Fire,2021,7,9,13,26,37.06047,-121.05758,1
Coyote Fire,2021,7,9,16,41,41.28523,-121.77593,1
Road Fire,2021,7,10,13,38,32.82731,-116.6253,1
Diablo Fire,2021,7,11,9,22,37.865193,-121.667665,1
Bear Fire,2021,7,11,13,29,34.85178,-118.81448,1
River Fire,2021,7,11,14,10,37.350823,-119.869785,1
Bradley Fire,2021,7,11,15,8,41.25272,-121.82403,1
Dexter Fire,2021,7,12,14,4,37.8024,-118.8745,1
Dixie Fire,2021,7,13,17,15,39.871306,-121.389439,1
Cannon Fire,2021,7,14,15,18,40.1703,-122.64768,1
Dolicini Fire,2021,7,14,15,34,38.0975072,-122.7418335,1
Border 13 Fire,2021,7,15,16,2,32.578481,-116.634023,1
Fork Fire,2021,7,17,17,40,39.999396,-122.55195,1
Chicken Fire,2021,7,18,13,34,40.86955,-120.45187,1
Peak Fire,2021,7,20,11,40,35.41153,-118.46461,1
Quail Fire,2021,7,20,13,52,33.889516,-117.070814,1
Frenchtown Fire,2021,7,20,16,36,39.383922,-121.24684,1
Mountain Fire,2021,7,23,0,0,39.976,-123.505,1
Park Fire,2021,7,26,0,0,36.199833,-118.722167,1
Pinnacles Fire,2021,7,28,0,0,36.476664,-121.224797,1
Evans Fire,2021,7,29,19,14,40.183504,-120.8468224,1
Robie Fire,2021,7,30,0,0,38.054116,-120.867498,1
Monument Fire,2021,7,30,12,28,40.752,-123.337,1
River Complex,2021,7,30,18,17,41.389,-123.057,1
McFarland Fire,2021,7,30,18,44,40.35,-123.034,1
Hungry Fire,2021,7,31,0,0,34.7479248,-118.8217926,1
Tobin Fire,2021,7,31,17,10,35.65927,-120.560856,1
Hiding Fire,2021,8,1,0,0,40.466364,-122.482826,1
Antelope Fire,2021,8,1,11,28,41.5289901,-121.9154934,1
Antonio Fire,2021,8,3,13,2,34.23604,-117.65989,1
House Fire,2021,8,4,0,0,40.604986,-122.506112,1
River Fire,2021,8,4,8,0,39.08805,-121.01468,1
Hambone Fire,2021,8,6,11,11,41.68499,-121.53946,1
Nelson Fire,2021,8,7,0,0,41.034362,-121.89008,1
Glen Fire,2021,8,11,0,0,39.403918,-121.30845,1
Middle Fire,2021,8,13,0,0,38.250596,-122.727542,1
Coyote Fire,2021,8,13,0,0,38.826123,-122.581257,1
Bell Fire,2021,8,14,0,0,39.834099,-123.637032,1
Caldor Fire,2021,8,14,18,54,38.586,-120.537833,1
Walkers Fire,2021,8,16,16,5,36.268,-118.555,1
McCash Fire,2021,8,18,8,50,41.564,-123.404,1
Cache Fire,2021,8,18,12,34,38.928133,-122.601395,1
French Fire,2021,8,18,18,20,35.674926,-118.501515,1
Rock Fire,2021,8,24,13,38,33.474823,-116.659688,1
Mule Fire,2021,8,25,0,0,40.616416,-122.514391,1
Westward Fire,2021,8,25,14,17,33.918089,-116.877776,1
Airola Fire,2021,8,25,14,55,38.038795,-120.454797,1
Bennett Fire,2021,8,25,15,33,39.216752,-121.040771,1
South Fire,2021,8,25,16,11,34.186147,-117.440263,1
Washington Fire,2021,8,26,13,20,37.962933,-120.402221,1
Roadside Fire,2021,8,28,11,25,34.25145,-117.4546,1
Chaparral Fire,2021,8,28,12,40,33.484721,-117.39309,1
Knob Fire,2021,8,29,8,0,40.8652,-123.6744,1
Railroad Fire,2021,8,29,12,50,34.34,-117.466,1
K-Rail,2021,8,30,13,30,41.03877,-123.52733,1
Lassen Fire,2021,9,1,14,27,38.0591827,-122.6131992,1
Lawrence Fire,2021,9,5,10,40,38.529123,-120.731748,1
Bridge Fire,2021,9,5,12,53,38.921239,-121.036613,1
Aruba Fire,2021,9,5,15,50,33.380079,-117.111157,1
Caballo Fire,2021,9,6,14,54,34.6776,-120.09009,1
Windy Fire,2021,9,9,12,0,36.058,-118.625,1
KNP Complex,2021,9,10,7,0,36.567,-118.811,1
Route Fire,2021,9,11,16,6,34.569383,-118.688821,1
Hopkins Fire,2021,9,12,14,15,39.232362,-123.202039,1
Emigrant Fire,2021,9,17,13,34,34.665169,-118.760816,1
Childrens Fire,2021,9,19,11,40,36.89365,-119.792528,1
University Fire,2021,9,22,11,27,34.164501,-117.333215,1
Fremont Fire,2021,9,22,14,25,38.269863,-122.416983,1
Fawn Fire,2021,9,22,16,45,40.729811,-122.320243,1
Maxwell Fire,2021,10,5,15,34,40.649917,-123.02375,1
Alisal Fire,2021,10,11,14,30,34.553,-120.136,1
View Fire ,2021,10,11,14,35,40.287225,-122.436754,1
Kettle Fire,2021,10,11,18,43,35.983649,-119.960099,1
Newell Fire,2021,10,11,20,2,38.170366,-122.241128,1
Canal Fire ,2021,10,14,16,49,39.986836,-122.277441,1
Estrada Fire,2021,10,15,14,40,37.013464,-121.752106,1
Gravel Fire,2021,10,15,15,15,41.862388,-120.358206,1
Hollow Fire,2021,10,24,13,40,37.62879,-121.52692,1
Arlanza Fire,2021,11,21,11,45,33.952633,-117.487947,1
Colorado Fire,2022,1,21,17,19,36.396461,-121.880533,1
Emerald Fire ,2022,2,10,4,0,33.558085,-117.805666,1
Airport Fire,2022,2,16,16,6,37.369355,-118.371813,1
Alpine Fire ,2022,3,1,17,15,38.46234,-123.015106,1
Jim Fire ,2022,3,2,11,6,33.6769121,-117.5181037,1
Flanagan Fire ,2022,3,4,10,31,40.67671,-122.4073,1
Hollister Fire,2022,3,12,11,35,34.4687419,-120.2770391,1
Gulch Fire ,2022,3,12,12,46,41.9525087,-121.9015432,1
Evergreen Fire ,2022,3,12,13,17,41.4455854,-122.3685584,1
Whitlow Fire,2022,3,25,21,23,41.234712,-121.692093,1
72 Fire,2022,3,26,18,18,33.525345,-116.099728,1
Moonlight RX,2022,4,9,17,55,40.18494,-120.4849,1
Valley Fire,2022,4,13,23,55,32.8647,-116.5185,1
Platina Fire,2022,4,27,13,56,40.44412,-122.690559,1
111 Fire,2022,4,30,20,33,33.510716,-115.916687,1
Pyrite Fire ,2022,5,6,12,51,34.018021,-117.462367,1
House Fire,2022,5,11,12,39,36.974622,-119.443013,1
Coastal Fire,2022,5,11,14,51,33.509464,-117.744398,1
Coyote Fire,2022,5,15,17,33,33.886637,-116.900635,1
Poplar Fire,2022,5,16,18,36,36.051411,-118.98167,1
Edmonston Fire,2022,5,19,16,15,34.935583,-118.873889,1
Willow Fire ,2022,5,20,12,8,38.015611,-121.998735,1
Dunnigan Fire ,2022,5,20,15,8,38.824462,-122.049621,1
Quail Fire,2022,5,21,15,14,38.467322,-122.051923,1
Edward Fire,2022,5,24,10,53,39.761232,-122.229859,1
Wilder Fire,2022,5,24,11,27,40.150329,-122.275649,1
River Fire ,2022,5,24,13,30,39.2333948,-122.0246463,1
Bull Fire ,2022,5,24,15,0,35.0155237,-120.3564497,1
Elk Trail Fire,2022,5,26,12,23,34.090619,-116.447636,1
Lost Lake Fire ,2022,5,26,21,31,34.010838,-114.484173,1
Old Fire,2022,5,31,15,35,38.370078,-122.270417,1
Range Fire,2022,6,3,10,59,35.199501,-118.721683,1
62 Fire,2022,6,4,23,15,33.59823,-116.23339,1
Hesperia Fire,2022,6,6,16,47,34.31267,-117.34635,1
Eagle Fire,2022,6,6,17,50,35.72373,-120.56019,1
Marsh Fire,2022,6,9,14,21,37.895892,-121.696808,1
Park Fire,2022,6,9,15,53,39.385829,-121.431372,1
Graham Fire,2022,6,10,11,51,40.05,-121.776,1
Plant Fire,2022,6,11,2,49,34.9324042,-118.9253809,1
Brandie Fire,2022,6,11,17,22,39.319804,-121.392285,1
Sheep Fire,2022,6,12,6,45,34.355593,-117.61508,1
Barrett Fire,2022,6,12,18,16,32.8134303,-116.5882585,1
Border 13 Fire ,2022,6,13,14,56,32.614832,-116.737119,1
Rancho Fire,2022,6,13,16,16,40.00919,-122.45621,1
Border 16,2022,6,21,10,8,32.567333,-116.750667,1
Edgewood,2022,6,21,14,30,37.459222,-122.27742,1
99 Fire,2022,6,22,12,0,39.37879,-121.68694,1
Thunder Fire ,2022,6,22,18,41,34.936618,-118.889446,1
Canyon Fire ,2022,6,23,13,47,37.642217,-121.903018,1
Timm Fire,2022,6,23,14,15,38.42619,-121.97785,1
Scenic Fire ,2022,6,23,14,37,38.046255,-122.191103,1
Tesla Fire,2022,6,23,17,39,37.365652,-121.556086,1
Romero Fire,2022,6,23,18,34,38.42619,-121.97785,1
Kirker Fire ,2022,6,24,12,20,37.97689,-121.908735,1
Union Fire,2022,6,25,17,22,33.968307,-117.462524,1
Ridge Fire,2022,6,26,8,13,41.317476,-122.359698,1
Roblar Fire ,2022,6,27,15,47,38.323263,-122.796221,1
Redwood Fire,2022,6,27,16,27,38.163521,-122.574563,1
Camino Fire,2022,6,28,11,57,35.136141,-120.437395,1
Burrows Fire ,2022,6,28,13,9,39.713372,-122.55002,1
Rices Fire,2022,6,28,14,0,39.319145,-121.192271,1
Evan Hewes,2022,6,29,12,53,32.79106,-115.71861,1
Nelson Fire,2022,6,30,15,18,39.524038,-121.650851,1
Sandra Fire,2022,6,30,16,8,39.480813,-121.366789,1
Table Fire,2022,7,1,13,31,37.013878,-119.576797,1
Garrison Fire,2022,7,4,9,26,35.8640822,-120.819059,1
Electra Fire,2022,7,4,18,42,38.334802,-120.665415,1
Jan-Dar Fire,2022,7,4,18,51,39.42972,-121.430071,1
